source,expected_destination,actual_status,actual_location,final_status,hops,final_url,destination_indexable,passed,raison
/fr/outils/diagnostic-automatisation-cabinet,/automatisation-courtier-assurance,308,/automatisation-courtier-assurance,200,1,/automatisation-courtier-assurance,oui,oui,
/fr/portail-client-courtier-assurance,/fonctionnalites/gestion-clients,308,/fonctionnalites/gestion-clients,200,1,/fonctionnalites/gestion-clients,oui,oui,
/fr/reporting-pilotage-cabinet-courtage,/fonctionnalites/reporting-courtier,308,/fonctionnalites/reporting-courtier,200,1,/fonctionnalites/reporting-courtier,oui,oui,
/fr/sante-portefeuille-courtier-assurance,/fonctionnalites/gestion-portefeuille-assurance,308,/fonctionnalites/gestion-portefeuille-assurance,200,1,/fonctionnalites/gestion-portefeuille-assurance,oui,oui,
/fr/sinistres-courtier-assurance,/crm-courtier-assurance,308,/crm-courtier-assurance,200,1,/crm-courtier-assurance,oui,oui,
/fr/workflows-courtier-assurance,/automatisation-courtier-assurance,308,/automatisation-courtier-assurance,200,1,/automatisation-courtier-assurance,oui,oui,
/fr/workflows/collecte-de-pieces,/automatisation-courtier-assurance,308,/automatisation-courtier-assurance,200,1,/automatisation-courtier-assurance,oui,oui,
/fr/workflows/mandat-et-kyc,/automatisation-courtier-assurance,308,/automatisation-courtier-assurance,200,1,/automatisation-courtier-assurance,oui,oui,
/fr/workflows/nouveau-prospect,/fonctionnalites/prospection-assurance,308,/fonctionnalites/prospection-assurance,200,1,/fonctionnalites/prospection-assurance,oui,oui,
/fr/workflows/relance-de-devis,/fonctionnalites/relance-devis-assurance,308,/fonctionnalites/relance-devis-assurance,200,1,/fonctionnalites/relance-devis-assurance,oui,oui,
/fr/workflows/renouvellement,/fonctionnalites/renouvellements-assurance,308,/fonctionnalites/renouvellements-assurance,200,1,/fonctionnalites/renouvellements-assurance,oui,oui,
/fr/workflows/sinistre,/automatisation-courtier-assurance,308,/automatisation-courtier-assurance,200,1,/automatisation-courtier-assurance,oui,oui,
/sitemaps/features.xml,/sitemaps/features-v2.xml,308,/sitemaps/features-v2.xml,200,1,/sitemaps/features-v2.xml,oui,oui,
